id,run_type,tree_size,batch_size,total_elapsed_time,ops_count,height,rotations
84,random_avl_delete,20998076,5000,2.7372960000e-03,338,29,0
85,random_avl_delete,21248028,5000,2.7098740000e-03,352,29,0
86,random_avl_delete,21497968,5000,2.7082040000e-03,338,29,0
87,random_avl_delete,21747929,5000,2.8511040000e-03,385,29,2
88,random_avl_delete,21997877,5000,2.6981350000e-03,378,29,1
89,random_avl_delete,22247833,5000,2.8042390000e-03,371,29,2
90,random_avl_delete,22497775,5000,2.7724830000e-03,357,29,2
91,random_avl_delete,22747719,5000,2.7187670000e-03,350,29,1
92,random_avl_delete,22997655,5000,2.7019570000e-03,352,29,0
93,random_avl_delete,23247607,5000,2.7594980000e-03,364,29,1
94,random_avl_delete,23497548,5000,2.7884950000e-03,364,29,1
95,random_avl_delete,23747496,5000,2.7351180000e-03,385,29,2
96,random_avl_delete,23997437,5000,2.7749300000e-03,357,29,2
97,random_avl_delete,24247370,5000,2.7654090000e-03,338,29,0
98,random_avl_delete,24497330,5000,2.7683990000e-03,352,29,0
99,random_avl_delete,24747271,5000,2.8210980000e-03,350,29,1
100,random_avl_delete,24997194,5000,2.8253600000e-03,392,30,1
