id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count,height, rotations
4050000,inorder_avl_insertion,91900444,0.000000813,4050000,322,22,1
4100000,inorder_avl_insertion,91800824,0.000000812,4100000,322,22,1
4150000,inorder_avl_insertion,91701271,0.000000803,4150000,322,22,1
4200000,inorder_avl_insertion,91601235,0.000000782,4200000,336,23,1
4250000,inorder_avl_insertion,91501031,0.000000826,4250000,336,23,1
4300000,inorder_avl_insertion,91401006,0.000000858,4300000,336,23,1
4350000,inorder_avl_insertion,91300897,0.000000888,4350000,336,23,1
4400000,inorder_avl_insertion,91201220,0.000000835,4400000,336,23,1
4450000,inorder_avl_insertion,91101335,0.000000856,4450000,336,23,1
4500000,inorder_avl_insertion,91001340,0.000000865,4500000,336,23,1
4550000,inorder_avl_insertion,90900548,0.000000862,4550000,336,23,1
4600000,inorder_avl_insertion,90800373,0.000000854,4600000,336,23,1
4650000,inorder_avl_insertion,90700286,0.000000829,4650000,336,23,1
4700000,inorder_avl_insertion,90599748,0.000000805,4700000,336,23,1
4750000,inorder_avl_insertion,90499899,0.000000814,4750000,336,23,1
4800000,inorder_avl_insertion,90399684,0.000000803,4800000,336,23,1
4850000,inorder_avl_insertion,90300177,0.000000831,4850000,336,23,1
4900000,inorder_avl_insertion,90199876,0.000000872,4900000,336,23,1
4950000,inorder_avl_insertion,90100415,0.000000798,4950000,336,23,1
5000000,inorder_avl_insertion,90000133,0.000000871,5000000,336,23,1
5050000,inorder_avl_insertion,89900632,0.000000819,5050000,336,23,1
5100000,inorder_avl_insertion,89800856,0.000000806,5100000,336,23,1
5150000,inorder_avl_insertion,89700399,0.000000857,5150000,336,23,1
5200000,inorder_avl_insertion,89600268,0.000000787,5200000,336,23,1
5250000,inorder_avl_insertion,89499724,0.000000830,5250000,336,23,1
5300000,inorder_avl_insertion,89399971,0.000000841,5300000,336,23,1
5350000,inorder_avl_insertion,89300234,0.000000839,5350000,336,23,1
5400000,inorder_avl_insertion,89200654,0.000000867,5400000,336,23,1
5450000,inorder_avl_insertion,89101214,0.000000952,5450000,336,23,1
5500000,inorder_avl_insertion,89001351,0.000000816,5500000,336,23,1
5550000,inorder_avl_insertion,88901608,0.000000879,5550000,336,23,1
5600000,inorder_avl_insertion,88801445,0.000000783,5600000,336,23,1
5650000,inorder_avl_insertion,88701068,0.000000800,5650000,336,23,1
5700000,inorder_avl_insertion,88601429,0.000000849,5700000,336,23,1
5750000,inorder_avl_insertion,88501509,0.000000823,5750000,336,23,1
5800000,inorder_avl_insertion,88401014,0.000000957,5800000,336,23,1
5850000,inorder_avl_insertion,88300808,0.000000905,5850000,336,23,1
5900000,inorder_avl_insertion,88200700,0.000000918,5900000,336,23,1
5950000,inorder_avl_insertion,88101020,0.000000806,5950000,336,23,1
6000000,inorder_avl_insertion,88001371,0.000000922,6000000,336,23,1
6050000,inorder_avl_insertion,87901716,0.000000922,6050000,336,23,1
6100000,inorder_avl_insertion,87801543,0.000000965,6100000,336,23,1
6150000,inorder_avl_insertion,87701628,0.000000970,6150000,336,23,1
6200000,inorder_avl_insertion,87601647,0.000001014,6200000,336,23,1
6250000,inorder_avl_insertion,87501701,0.000001002,6250000,336,23,1
6300000,inorder_avl_insertion,87402204,0.000000995,6300000,336,23,1
6350000,inorder_avl_insertion,87301856,0.000000967,6350000,336,23,1
6400000,inorder_avl_insertion,87201721,0.000000948,6400000,336,23,1
6450000,inorder_avl_insertion,87102098,0.000000917,6450000,336,23,1
6500000,inorder_avl_insertion,87002232,0.000001016,6500000,336,23,1
6550000,inorder_avl_insertion,86902574,0.000000932,6550000,336,23,1
6600000,inorder_avl_insertion,86803244,0.000000988,6600000,336,23,1
6650000,inorder_avl_insertion,86703143,0.000000979,6650000,336,23,1
6700000,inorder_avl_insertion,86603185,0.000000917,6700000,336,23,1
6750000,inorder_avl_insertion,86502958,0.000000976,6750000,336,23,1
6800000,inorder_avl_insertion,86402866,0.000000942,6800000,336,23,1
6850000,inorder_avl_insertion,86301963,0.000000812,6850000,336,23,1
6900000,inorder_avl_insertion,86202208,0.000000871,6900000,336,23,1
6950000,inorder_avl_insertion,86101895,0.000000821,6950000,336,23,1
7000000,inorder_avl_insertion,86001570,0.000000831,7000000,336,23,1
7050000,inorder_avl_insertion,85901332,0.000000843,7050000,336,23,1
7100000,inorder_avl_insertion,85801893,0.000000791,7100000,336,23,1
7150000,inorder_avl_insertion,85701356,0.000000842,7150000,336,23,1
7200000,inorder_avl_insertion,85601381,0.000000850,7200000,336,23,1
7250000,inorder_avl_insertion,85501458,0.000000805,7250000,336,23,1
7300000,inorder_avl_insertion,85401247,0.000000826,7300000,336,23,1
7350000,inorder_avl_insertion,85300960,0.000000846,7350000,336,23,1
7400000,inorder_avl_insertion,85201608,0.000000821,7400000,336,23,1
7450000,inorder_avl_insertion,85102082,0.000000834,7450000,336,23,1
7500000,inorder_avl_insertion,85002838,0.000000865,7500000,336,23,1
7550000,inorder_avl_insertion,84902802,0.000000818,7550000,336,23,1
7600000,inorder_avl_insertion,84803090,0.000000826,7600000,336,23,1
7650000,inorder_avl_insertion,84703007,0.000000842,7650000,336,23,1
7700000,inorder_avl_insertion,84602519,0.000000761,7700000,336,23,1
7750000,inorder_avl_insertion,84502699,0.000000839,7750000,336,23,1
7800000,inorder_avl_insertion,84402296,0.000000779,7800000,336,23,1
7850000,inorder_avl_insertion,84302217,0.000000797,7850000,336,23,1
7900000,inorder_avl_insertion,84202486,0.000000814,7900000,336,23,1
7950000,inorder_avl_insertion,84102365,0.000000817,7950000,336,23,1
8000000,inorder_avl_insertion,84002219,0.000000820,8000000,336,23,1
8050000,inorder_avl_insertion,83902091,0.000000869,8050000,336,23,1
8100000,inorder_avl_insertion,83801864,0.000000804,8100000,336,23,1
8150000,inorder_avl_insertion,83701982,0.000000836,8150000,336,23,1
8200000,inorder_avl_insertion,83602342,0.000000806,8200000,336,23,1
8250000,inorder_avl_insertion,83501981,0.000000808,8250000,336,23,1
8300000,inorder_avl_insertion,83401962,0.000000785,8300000,336,23,1
8350000,inorder_avl_insertion,83301870,0.000000808,8350000,336,23,1
8400000,inorder_avl_insertion,83202315,0.000000847,8400000,350,24,1
8450000,inorder_avl_insertion,83102068,0.000001119,8450000,350,24,1
8500000,inorder_avl_insertion,83002118,0.000001003,8500000,350,24,1
8550000,inorder_avl_insertion,82901863,0.000000811,8550000,350,24,1
8600000,inorder_avl_insertion,82801586,0.000000961,8600000,350,24,1
8650000,inorder_avl_insertion,82701848,0.000001149,8650000,350,24,1
8700000,inorder_avl_insertion,82602156,0.000001025,8700000,350,24,1
8750000,inorder_avl_insertion,82502447,0.000000881,8750000,350,24,1
8800000,inorder_avl_insertion,82402316,0.000000888,8800000,350,24,1
8850000,inorder_avl_insertion,82301976,0.000000910,8850000,350,24,1
8900000,inorder_avl_insertion,82201853,0.000000827,8900000,350,24,1
8950000,inorder_avl_insertion,82102175,0.000000736,8950000,350,24,1
9000000,inorder_avl_insertion,82002900,0.000000747,9000000,350,24,1
9050000,inorder_avl_insertion,81903159,0.000000747,9050000,350,24,1
9100000,inorder_avl_insertion,81803017,0.000000762,9100000,350,24,1
9150000,inorder_avl_insertion,81703126,0.000000775,9150000,350,24,1
9200000,inorder_avl_insertion,81602636,0.000000757,9200000,350,24,1
9250000,inorder_avl_insertion,81502419,0.000000785,9250000,350,24,1
9300000,inorder_avl_insertion,81402101,0.000000729,9300000,350,24,1
9350000,inorder_avl_insertion,81302417,0.000000734,9350000,350,24,1
9400000,inorder_avl_insertion,81202424,0.000000765,9400000,350,24,1
9450000,inorder_avl_insertion,81102250,0.000000730,9450000,350,24,1
9500000,inorder_avl_insertion,81003004,0.000000761,9500000,350,24,1
9550000,inorder_avl_insertion,80903787,0.000000785,9550000,350,24,1
9600000,inorder_avl_insertion,80803495,0.000000765,9600000,350,24,1
9650000,inorder_avl_insertion,80703304,0.000000743,9650000,350,24,1
9700000,inorder_avl_insertion,80603399,0.000000748,9700000,350,24,1
9750000,inorder_avl_insertion,80503387,0.000000761,9750000,350,24,1
9800000,inorder_avl_insertion,80403331,0.000000739,9800000,350,24,1
9850000,inorder_avl_insertion,80303601,0.000000735,9850000,350,24,1
9900000,inorder_avl_insertion,80203372,0.000000760,9900000,350,24,1
9950000,inorder_avl_insertion,80103601,0.000000755,9950000,350,24,1
10000000,inorder_avl_insertion,80003800,0.000000711,10000000,350,24,1
10050000,inorder_avl_insertion,79903963,0.000000783,10050000,350,24,1
10100000,inorder_avl_insertion,79804218,0.000000792,10100000,350,24,1
10150000,inorder_avl_insertion,79704251,0.000000776,10150000,350,24,1
10200000,inorder_avl_insertion,79604431,0.000000776,10200000,350,24,1
10250000,inorder_avl_insertion,79504801,0.000000727,10250000,350,24,1
10300000,inorder_avl_insertion,79405038,0.000000733,10300000,350,24,1
10350000,inorder_avl_insertion,79305009,0.000000795,10350000,350,24,1
10400000,inorder_avl_insertion,79205511,0.000000750,10400000,350,24,1
10450000,inorder_avl_insertion,79105272,0.000000766,10450000,350,24,1
10500000,inorder_avl_insertion,79005520,0.000000814,10500000,350,24,1
10550000,inorder_avl_insertion,78905451,0.000000728,10550000,350,24,1
10600000,inorder_avl_insertion,78805519,0.000000760,10600000,350,24,1
10650000,inorder_avl_insertion,78705317,0.000000730,10650000,350,24,1
10700000,inorder_avl_insertion,78605634,0.000000772,10700000,350,24,1
10750000,inorder_avl_insertion,78505381,0.000000758,10750000,350,24,1
10800000,inorder_avl_insertion,78405420,0.000000814,10800000,350,24,1
10850000,inorder_avl_insertion,78305504,0.000000759,10850000,350,24,1
10900000,inorder_avl_insertion,78205825,0.000000737,10900000,350,24,1
10950000,inorder_avl_insertion,78105563,0.000000789,10950000,350,24,1
11000000,inorder_avl_insertion,78005852,0.000000817,11000000,350,24,1
11050000,inorder_avl_insertion,77905757,0.000000764,11050000,350,24,1
11100000,inorder_avl_insertion,77805719,0.000000760,11100000,350,24,1
11150000,inorder_avl_insertion,77706091,0.000000750,11150000,350,24,1
11200000,inorder_avl_insertion,77605467,0.000000795,11200000,350,24,1
11250000,inorder_avl_insertion,77505946,0.000000740,11250000,350,24,1
11300000,inorder_avl_insertion,77406008,0.000000721,11300000,350,24,1
11350000,inorder_avl_insertion,77306094,0.000000760,11350000,350,24,1
11400000,inorder_avl_insertion,77206336,0.000000717,11400000,350,24,1
11450000,inorder_avl_insertion,77105561,0.000000801,11450000,350,24,1
11500000,inorder_avl_insertion,77005851,0.000000815,11500000,350,24,1
11550000,inorder_avl_insertion,76905585,0.000000794,11550000,350,24,1
11600000,inorder_avl_insertion,76805704,0.000000813,11600000,350,24,1
11650000,inorder_avl_insertion,76706111,0.000000740,11650000,350,24,1
11700000,inorder_avl_insertion,76605908,0.000000737,11700000,350,24,1
11750000,inorder_avl_insertion,76506086,0.000000744,11750000,350,24,1
11800000,inorder_avl_insertion,76405741,0.000000760,11800000,350,24,1
11850000,inorder_avl_insertion,76305321,0.000000757,11850000,350,24,1
11900000,inorder_avl_insertion,76204936,0.000000773,11900000,350,24,1
11950000,inorder_avl_insertion,76105057,0.000000809,11950000,350,24,1
12000000,inorder_avl_insertion,76005551,0.000000805,12000000,350,24,1
12050000,inorder_avl_insertion,75905091,0.000000780,12050000,350,24,1
12100000,inorder_avl_insertion,75805055,0.000000726,12100000,350,24,1
12150000,inorder_avl_insertion,75705298,0.000000750,12150000,350,24,1
12200000,inorder_avl_insertion,75605040,0.000000751,12200000,350,24,1
12250000,inorder_avl_insertion,75504372,0.000000785,12250000,350,24,1
12300000,inorder_avl_insertion,75404816,0.000000768,12300000,350,24,1
12350000,inorder_avl_insertion,75304098,0.000000783,12350000,350,24,1
12400000,inorder_avl_insertion,75203985,0.000000814,12400000,350,24,1
12450000,inorder_avl_insertion,75103655,0.000000774,12450000,350,24,1
12500000,inorder_avl_insertion,75003569,0.000000783,12500000,350,24,1
12550000,inorder_avl_insertion,74903655,0.000000763,12550000,350,24,1
12600000,inorder_avl_insertion,74803846,0.000000803,12600000,350,24,1
12650000,inorder_avl_insertion,74704191,0.000000794,12650000,350,24,1
12700000,inorder_avl_insertion,74604185,0.000000821,12700000,350,24,1
12750000,inorder_avl_insertion,74504328,0.000000771,12750000,350,24,1
12800000,inorder_avl_insertion,74403996,0.000000789,12800000,350,24,1
12850000,inorder_avl_insertion,74303664,0.000000766,12850000,350,24,1
12900000,inorder_avl_insertion,74203607,0.000000759,12900000,350,24,1
12950000,inorder_avl_insertion,74103560,0.000000897,12950000,350,24,1
13000000,inorder_avl_insertion,74002893,0.000000847,13000000,350,24,1
13050000,inorder_avl_insertion,73902124,0.000000824,13050000,350,24,1
13100000,inorder_avl_insertion,73802305,0.000000812,13100000,350,24,1
13150000,inorder_avl_insertion,73702505,0.000000774,13150000,350,24,1
13200000,inorder_avl_insertion,73602595,0.000000805,13200000,350,24,1
13250000,inorder_avl_insertion,73502659,0.000000890,13250000,350,24,1
13300000,inorder_avl_insertion,73402622,0.000000881,13300000,350,24,1
13350000,inorder_avl_insertion,73302646,0.000000780,13350000,350,24,1
13400000,inorder_avl_insertion,73202408,0.000000789,13400000,350,24,1
13450000,inorder_avl_insertion,73102274,0.000000776,13450000,350,24,1
