id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count,height, rotations
4250000,random_avl_insertion,20599560,0.000002529,4250000,310,26,0
4300000,random_avl_insertion,54476408,0.000002429,4300000,296,26,0
4350000,random_avl_insertion,81604428,0.000002408,4350000,329,26,2
4400000,random_avl_insertion,7511319,0.000002452,4400000,310,27,0
4450000,random_avl_insertion,79959136,0.000002461,4450000,310,27,0
4500000,random_avl_insertion,44931999,0.000002482,4500000,296,27,0
4550000,random_avl_insertion,90312191,0.000002721,4550000,329,27,2
4600000,random_avl_insertion,68739536,0.000002719,4600000,310,27,0
4650000,random_avl_insertion,66347621,0.000002101,4650000,310,27,0
4700000,random_avl_insertion,93233670,0.000002173,4700000,324,27,0
4750000,random_avl_insertion,26327482,0.000002313,4750000,310,27,0
4800000,random_avl_insertion,11370998,0.000002316,4800000,357,27,2
4850000,random_avl_insertion,53450287,0.000002269,4850000,324,27,0
4900000,random_avl_insertion,1973092,0.000002304,4900000,324,27,0
4950000,random_avl_insertion,63269236,0.000002231,4950000,357,27,2
5000000,random_avl_insertion,83292125,0.000002265,5000000,296,27,0
5050000,random_avl_insertion,59382233,0.000002286,5050000,357,27,2
5100000,random_avl_insertion,63577628,0.000002326,5100000,357,27,2
5150000,random_avl_insertion,30292972,0.000002306,5150000,324,27,0
5200000,random_avl_insertion,57468730,0.000002177,5200000,336,27,1
5250000,random_avl_insertion,46922775,0.000002382,5250000,357,27,2
5300000,random_avl_insertion,49386168,0.000002224,5300000,336,27,1
5350000,random_avl_insertion,23843272,0.000002151,5350000,310,27,0
5400000,random_avl_insertion,30031379,0.000002317,5400000,350,27,1
5450000,random_avl_insertion,7635542,0.000002295,5450000,371,27,2
5500000,random_avl_insertion,87899173,0.000002303,5500000,336,27,1
5550000,random_avl_insertion,77204837,0.000002250,5550000,338,27,0
5600000,random_avl_insertion,47600306,0.000002458,5600000,338,27,0
5650000,random_avl_insertion,94808539,0.000002553,5650000,310,27,0
5700000,random_avl_insertion,48756335,0.000002458,5700000,338,27,0
5750000,random_avl_insertion,88245786,0.000002448,5750000,343,27,2
5800000,random_avl_insertion,67507546,0.000002420,5800000,296,27,0
5850000,random_avl_insertion,73141602,0.000002392,5850000,324,27,0
5900000,random_avl_insertion,71504835,0.000002313,5900000,322,27,1
5950000,random_avl_insertion,34514208,0.000002301,5950000,329,27,2
6000000,random_avl_insertion,92028881,0.000002392,6000000,357,27,2
6050000,random_avl_insertion,29185688,0.000002578,6050000,282,27,0
6100000,random_avl_insertion,71663561,0.000002472,6100000,324,27,0
6150000,random_avl_insertion,59636658,0.000002608,6150000,357,27,2
6200000,random_avl_insertion,62185587,0.000002593,6200000,310,27,0
6250000,random_avl_insertion,41491803,0.000002340,6250000,350,27,1
6300000,random_avl_insertion,6957251,0.000002472,6300000,310,27,0
6350000,random_avl_insertion,54082659,0.000002436,6350000,336,27,1
6400000,random_avl_insertion,77564489,0.000002362,6400000,336,27,1
6450000,random_avl_insertion,77793281,0.000002443,6450000,343,27,2
6500000,random_avl_insertion,76082710,0.000002495,6500000,371,27,2
6550000,random_avl_insertion,1471580,0.000002415,6550000,338,27,0
6600000,random_avl_insertion,63748027,0.000002492,6600000,324,27,0
6650000,random_avl_insertion,67365161,0.000002561,6650000,310,27,0
6700000,random_avl_insertion,84466340,0.000002541,6700000,343,27,2
6750000,random_avl_insertion,82923755,0.000002503,6750000,364,27,1
6800000,random_avl_insertion,51756782,0.000002537,6800000,371,27,2
6850000,random_avl_insertion,81764428,0.000002522,6850000,329,27,2
6900000,random_avl_insertion,54813577,0.000002385,6900000,343,27,2
6950000,random_avl_insertion,60746223,0.000002407,6950000,324,27,0
7000000,random_avl_insertion,86833306,0.000002411,7000000,350,27,1
7050000,random_avl_insertion,88125590,0.000002506,7050000,322,27,1
7100000,random_avl_insertion,84287436,0.000002498,7100000,324,27,0
7150000,random_avl_insertion,89600670,0.000002475,7150000,310,27,0
7200000,random_avl_insertion,73169456,0.000002448,7200000,324,27,0
7250000,random_avl_insertion,38717782,0.000002497,7250000,310,27,0
7300000,random_avl_insertion,74466066,0.000002481,7300000,357,27,2
7350000,random_avl_insertion,53545552,0.000002463,7350000,338,27,0
7400000,random_avl_insertion,13035425,0.000002517,7400000,357,27,2
7450000,random_avl_insertion,14850137,0.000002427,7450000,350,27,1
7500000,random_avl_insertion,21032742,0.000002467,7500000,296,27,0
7550000,random_avl_insertion,33397365,0.000002466,7550000,338,27,0
7600000,random_avl_insertion,76632387,0.000002427,7600000,350,27,1
